"ticker","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","created_at","updated_at"
"CPTS11","14.4691","0.9236","-0.1787","13.403","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CPSH11","16.0577","0.6700","-0.6793","10.766","0.001","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CPOF11","42.7728","-0.0421","-1.1623","-1.795","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CPLG11","19.4308","1.1091","1.2210","21.601","0.001","2025-07-02 00:00:00","2025-11-07 00:00:00"
"CNES11","48.6072","0.0131","-4.7858","0.632","0.000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CLIN11","18.3445","0.0951","-0.1645","1.747","0.008","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CJCT11","31.2947","0.0656","-0.0844","2.073","0.015","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CIXM11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CIXF11","0.2611","-300.2122","4.0426","-78.381","-0.002","2025-07-02 00:00:00","2025-11-07 00:00:00"
"CFII11","169.1659","-0.1660",NULL,NULL,"0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"CFHI11","0.3778","12.6552",NULL,NULL,"0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"CEOC11","23.9188","0.2556","-0.1693","6.111","0.005","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CENU11","0.0000","0.0000","0.0000","0.000","0.000","2024-06-10 00:00:00","2025-11-07 00:00:00"
"CCVA11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"CCME11","29.1603","0.4854","-0.2901","14.138","0.000","2024-06-10 00:00:00","2025-11-07 00:00:00"
"CBOP11","56.9724","0.0294","-0.2623","1.678","0.005","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CARE11","44.7079","-0.0156","-36.0502","-0.690","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CACR11","29.4440","-0.2308","-0.5685","-6.803","0.004","2024-05-22 00:00:00","2025-11-07 00:00:00"
"BVAR11","0.0000","0.0000",NULL,NULL,"0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"BTYU11","58.4653","0.2107","-0.4178","12.228","0.001","2024-05-29 00:00:00","2025-10-19 00:00:00"
"BTWR11","2.2048","4.2168",NULL,NULL,"0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"BTSI11","0.0000","0.0000",NULL,NULL,"0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
