"ticker","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"EAGL11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"DVLT11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"DVLP11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"DVFF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"DPRO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"DOVL11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"DEVA11","0","0","0","0","81","0","8","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"DAYM11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"DAMT11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"DAMA11","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-10-28 00:00:00"
"CYLD11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"CYCR11","0","0","0","0","91","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CXTL11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CXRI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CXCO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CXCI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CXCE11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"CXAG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CVBI11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-10-14 00:00:00","2025-10-28 00:00:00"
"CTXT11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-09-21 00:00:00"
"CSMC11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"CRFF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CPUR11","0","0","0","0","0","0","0","0","2025-06-12 00:00:00","2025-10-28 00:00:00"
"CPTS11","0","0","0","0","14","0","14","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
