"ticker","ref_month","dividends_sum","price_ref","dy_monthly"
"ARRI11","2023-09-01","0.10","8.91","0.01122334455667789001"
"ARRI11","2023-10-01","0.10","8.88","0.01126126126126126126"
"ARRI11","2023-11-01","0.09","9.06","0.00993377483443708609"
"ARRI11","2023-12-01","0.10","9.08","0.01101321585903083700"
"ARRI11","2024-01-01","0.10","9.11","0.01097694840834248079"
"ARRI11","2024-02-01","0.10","9.27","0.01078748651564185545"
"ARRI11","2024-03-01","0.10","9.30","0.01075268817204301075"
"ARRI11","2024-04-01","0.10","9.21","0.01085776330076004343"
"ARRI11","2024-05-01","0.10","9.09","0.01100110011001100110"
"ARRI11","2024-06-01","0.11","9.18","0.01198257080610021786"
"ARRI11","2024-07-01","0.11","9.17","0.01199563794983642312"
"ARRI11","2024-08-01","0.10","9.07","0.01102535832414553473"
"ARRI11","2024-09-01","0.10","8.83","0.01132502831257078143"
"ARRI11","2024-10-01","0.09","8.46","0.01063829787234042553"
"ARRI11","2024-11-01","0.09","8.69","0.01035673187571921749"
"ARRI11","2024-12-01","0.09","8.18","0.01100244498777506112"
"ARRI11","2025-01-01","0.09","7.61","0.01182654402102496715"
"ARRI11","2025-02-01","0.09","7.93","0.01134930643127364439"
"ARRI11","2025-03-01","0.09","7.63","0.01179554390563564875"
"ARRI11","2025-04-01","0.09","7.49","0.01201602136181575434"
"ARRI11","2025-05-01","0.09","7.35","0.01224489795918367347"
"ARRI11","2025-06-01","0.09","7.14","0.01260504201680672269"
"ARRI11","2025-07-01","0.09","6.94","0.01296829971181556196"
"ARRI11","2025-08-01","0.09","6.73","0.01337295690936106984"
"ARRI11","2025-09-01","0.09","6.62","0.01359516616314199396"
"ARRI11","2025-10-01","0.09","6.57","0.01369863013698630137"
"ARRI11","2025-11-01","0.09","6.55","0.01374045801526717557"
"ARXD11","2023-06-01","1.15","100.00","0.01150000000000000000"
"ARXD11","2023-07-01","1.10","100.00","0.01100000000000000000"
"ARXD11","2023-08-01","1.10","100.55","0.01093983092988562904"
"ARXD11","2023-09-01","1.10","102.00","0.01078431372549019608"
"ARXD11","2023-10-01","1.10","100.00","0.01100000000000000000"
"ARXD11","2023-11-01","1.00","94.04","0.01063377286261165462"
