"ticker","display_name","sector","sub_sector","classification","management_type","target_market","traded_until_date","payment_date","dividend_amt","ref_month","month_dividends_amt","month_price_ref","dy_monthly","dy_12m_pct","dy_current_monthly_pct","dividends_12m_amt","last_dividend_amt","last_payment_date"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-04-14 00:00:00","2022-04-25 00:00:00","1.35","2022-04-01","1.35","98.98","0.01363911901394221055","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-03-15 00:00:00","2022-03-22 00:00:00","1.30","2022-03-01","1.30","100.00","0.01300000000000000000","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-02-14 00:00:00","2022-02-21 00:00:00","1.30","2022-02-01","1.30","96.74","0.01343808145544759148","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-01-14 00:00:00","2022-01-21 00:00:00","1.30","2022-01-01","1.30","100.97","0.01287511141923343567","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2021-12-14 00:00:00","2021-12-21 00:00:00","1.25","2021-12-01","1.25","98.20","0.01272912423625254582","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2021-11-16 00:00:00","2021-11-23 00:00:00","1.20","2021-11-01","1.20","96.10","0.01248699271592091571","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2021-10-15 00:00:00","2021-10-22 00:00:00","1.05","2021-10-01","1.05","93.19","0.01126730335872947741","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AIEC11","Autonomy Edifcios Corporativos Fund Investimento Imobiliario","Lajes Corporativas","Escritórios","Tijolo","Ativa","Investidores Em Geral","2025-10-31 00:00:00","2025-11-10 00:00:00","0.34","2025-11-01","0.34","52.47","0.00647989327234610253","9.47","0.65","4.97","0.34","2025-11-10 00:00:00"
"AIEC11","Autonomy Edifcios Corporativos Fund Investimento Imobiliario","Lajes Corporativas","Escritórios","Tijolo","Ativa","Investidores Em Geral","2025-09-30 00:00:00","2025-10-10 00:00:00","0.34","2025-10-01","0.34","54.00","0.00629629629629629630","9.47","0.65","4.97","0.34","2025-11-10 00:00:00"
"AIEC11","Autonomy Edifcios Corporativos Fund Investimento Imobiliario","Lajes Corporativas","Escritórios","Tijolo","Ativa","Investidores Em Geral","2025-08-29 00:00:00","2025-09-09 00:00:00","0.34","2025-09-01","0.34","52.70","0.00645161290322580645","9.47","0.65","4.97","0.34","2025-11-10 00:00:00"
"AIEC11","Autonomy Edifcios Corporativos Fund Investimento Imobiliario","Lajes Corporativas","Escritórios","Tijolo","Ativa","Investidores Em Geral","2025-07-31 00:00:00","2025-08-08 00:00:00","0.34","2025-08-01","0.34","47.00","0.00723404255319148936","9.47","0.65","4.97","0.34","2025-11-10 00:00:00"
"AIEC11","Autonomy Edifcios Corporativos Fund Investimento Imobiliario","Lajes Corporativas","Escritórios","Tijolo","Ativa","Investidores Em Geral","2025-06-30 00:00:00","2025-07-08 00:00:00","0.32","2025-07-01","0.32","46.10","0.00694143167028199566","9.47","0.65","4.97","0.34","2025-11-10 00:00:00"
