"ticker","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","created_at","updated_at"
"SARE11","0.0677","0","0","0","0","0","0","0","0","0","0","0.9323","0","0","0.0677","0","0.9323","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SCPF11","0.0279","0.0000","0.0000","0.0064","0.0291","0.0255","0.0000","0.0389","0.0000","0.0345","0.0000","0.0142","0.3834","0.4210","1.0000","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SEED11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SEQR11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","0.1436","0","0.8563","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SHDP11","0.0453","0.0631","0.0335","0.0322","0.0267","0.0738","0.0825","0.0294","0.0145","0.0317","0.0301","0.0248","0.3061","0.2056","0.0000","0.0108","0.5668","0.0000","2025-07-02 00:00:00","2025-11-22 00:00:00"
"SHOP11","0.0281","0.0302","0.0089","0.0732","0.0401","0.0218","0.0362","0.0554","0.0636","0.0276","0.0686","0.0240","0.3838","0.1379","0.9096","0","0.0903","0","2024-06-10 00:00:00","2025-11-22 00:00:00"
"SHPH11","0.0524","0.0470","0.0251","0.0401","0.0182","0.0548","0.0276","0.0474","0.0120","0.0320","0.0466","0.0418","0.2951","0.2599","0.9934","0","0.0003","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SHPP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"SJAU11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SMRE11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-11-22 00:00:00"
"SNCI11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SNEL11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SNFF11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SNLG11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SNME11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
